Task ID,Title,Description,Milestone,Size,Risk,Labels,Quick Win,Definition of Done,Rollback Criteria
V2-019,Expand baseline fixture coverage,Add fixtures for easynews/nzbdav/integration-client error paths and triage outcomes.,M0,M,Medium,"v2,milestone:m0",No,Fixture set covers core and integration-client-specific paths.,"If fixture maintenance is too heavy, prioritize highest-traffic routes."
V2-GATE-M0,M0 gate - baseline ready,"Close only when smoke, same output, inventory, and rollback docs are complete.",M0,XS,Low,"v2,milestone:m0,rollback",No,All M0 tasks completed and CI green.,Block M1 if any baseline dependency is incomplete.
V2-020,Add TypeScript base config,Create shared TS config with allowJs/checkJs for gradual migration.,M1,S,Low,"v2,milestone:m1,quick-win",Yes,Typecheck command runs successfully.,Relax strictness temporarily if migration stalls.
V2-021,Add typecheck scripts,Add npm scripts and CI step for type checking.,M1,XS,Low,"v2,milestone:m1,quick-win",Yes,Typecheck is required in CI.,Scope typecheck by layer if CI becomes unstable.
V2-022,Create shared API contract types,Define request/response DTOs for manifest/catalog/meta/stream.,M1,S,Low,"v2,milestone:m1",No,Core endpoint contracts are typed and referenced.,Fix DTO mismatch without changing runtime behavior.
V2-023,Type stream context entry points,Add JSDoc/TS typing for stream context builder and consumers.,M1,S,Low,"v2,milestone:m1,quick-win",Yes,Misspelled/missing context keys are type errors.,Start with minimal keys if noise is too high.
V2-024,Block new untyped layered files,"Add guard that no new JS files are added under `src/{routes,controllers,services,integrations,domain}/**`.",M1,XS,Low,"v2,milestone:m1,quick-win",Yes,Guard fails CI on non-TS layered-file additions.,Allow temporary exceptions only with linked ticket.
V2-025,Define integration-client interfaces,"Create typed integration-client contracts for Newznab, NZBDav, Easynews, Indexer, TMDb, TVDb.",M1,M,Medium,"v2,milestone:m1",No,Interfaces exist and are importable by services/controllers.,Keep adapter wrappers if interface same output gaps are found.
V2-026,Define triage and stream contracts,"Create typed contracts for triage decisions, statuses, and stream ranking outputs.",M1,M,Medium,"v2,milestone:m1",No,Contracts are used in stream and triage entry points.,Fallback to legacy types if blocking compile issues occur.
V2-027,Type runtime snapshot model,Define typed read-only runtime snapshot consumed by service/controller layers.,M1,S,Low,"v2,milestone:m1",No,Snapshot type is central source for runtime values.,"If stale data issues appear, shorten snapshot lifecycle."
V2-028,Add layer boundary import rules,Prevent cross-layer imports that violate layered architecture.,M1,S,Low,"v2,milestone:m1",No,Boundary checks pass in CI.,Temporarily warn-only mode if enforcement blocks migration.
V2-029,Add TS project references,Set TS project references for app/services/integrations/shared for faster checks.,M1,S,Low,"v2,milestone:m1,quick-win",Yes,Typecheck runs with project references.,Remove references if they cause tooling instability.
V2-GATE-M1,M1 gate - TS foundation stable,Close only when TS checks and core contracts are stable in CI.,M1,XS,Low,"v2,milestone:m1",No,All M1 tasks complete and CI stable.,Hold M2 until type tooling is reliable.
V2-030,Create stream layered scaffold,"Create `src/{routes,controllers,services,integrations,domain}/stream/*` plus `src/types/stream/*` with README.",M2,XS,Low,"v2,milestone:m2,quick-win",Yes,Scaffold exists with documented boundaries.,Rename/restructure early if boundaries are unclear.
V2-031,Define StreamDeps interface,Replace giant flat stream context with grouped dependency shape.,M2,S,Low,"v2,milestone:m2",No,Use case consumes StreamDeps instead of mega ctx.,Add missing deps incrementally if runtime failures occur.
V2-032,Wrap stream flow in use-case factory,Introduce `createGetStreamsUseCase(deps)` wrapper with no behavior change.,M2,M,Medium,"v2,milestone:m2",No,Route uses use-case wrapper and same output holds.,Switch route back to legacy handler if mismatch appears.
V2-033,Move stream route wiring to routes layer,Register stream routes via routes index rather than server large single file.,M2,S,Low,"v2,milestone:m2,quick-win",Yes,Server imports stream routes successfully.,Restore old route registration if boot fails.
V2-034,Add stream v2 feature flag,Add `STREAM_V2_ENABLED` toggle for safe rollout/rollback.,M2,S,Low,"v2,milestone:m2,rollback",No,Flag can swap implementations cleanly.,Default to legacy path if errors rise.
V2-126,Extract admin route registration from server.js,Move `/admin` and `/admin/api` route registration from server.js into `src/routes/admin/*` registration modules.,M2,M,High,"v2,milestone:m2,rollback",No,Admin route registration is owned by routes layer and server.js only composes route modules.,Restore inline admin route registration in server.js if boot/auth routing regresses.
V2-127,Extract admin config handler controller,Move `/admin/api/config` GET/POST handler logic from server.js into `src/controllers/admin/configController.*` while preserving hot-reload behavior.,M2,M,High,"v2,milestone:m2,rollback",No,Admin config HTTP request/response handling lives in controller modules with unchanged behavior.,Switch admin config route binding back to legacy server.js handlers if parity fails.
V2-128,Extract admin connection-test controller,Move `/admin/api/test-connections` handler logic from server.js into `src/controllers/admin/connectionTestController.*` with unchanged test semantics.,M2,S,Medium,"v2,milestone:m2",No,Connection-test HTTP handling is controller-owned and outputs match baseline responses.,Rebind endpoint to legacy server.js handler if any connector test response changes unexpectedly.
V2-037,Extract manifest/catalog/meta handlers,Move addon handlers from server.js into controller/service files.,M2,M,Medium,"v2,milestone:m2",No,Handlers no longer implemented in server.js.,Route back to legacy handlers if behavior differs.
V2-038,Extract Easynews/NZBDav HTTP handlers,Move Easynews NZB and NZBDav stream handlers out of server.js.,M2,M,Medium,"v2,milestone:m2",No,Handlers live in controller/service files.,Restore legacy route bindings on regression.
V2-039,Extract bootstrap and route registration,Move start/restart lifecycle and route registration out of server.js.,M2,M,Medium,"v2,milestone:m2",No,server.js is thinner and app bootstrap owns lifecycle.,Re-enable old lifecycle path if startup unstable.
V2-047,Extract shared helper functions from server.js,Move strict-search/encoding/format helpers from server.js to shared utilities.,M2,S,Low,"v2,milestone:m2,quick-win",Yes,Helpers imported from shared locations with tests.,Revert helper extraction if output behavior changes.
V2-070,Split stream use-case internals,"Break stream flow into request parsing, id resolution, search planning, ranking, output building components.",M2,M,Medium,"v2,milestone:m2",No,Each subcomponent has focused responsibility and tests.,Keep wrapper delegating to legacy internals if needed.
V2-122,Extract stream HTTP controller from server.js,Move stream endpoint HTTP entry wiring from `server.js` into `src/controllers/stream/*` so routing remains thin.,M2,M,High,"v2,milestone:m2,rollback",No,Stream HTTP entry path is controller-owned and requests are dispatched through stream controller modules (remaining legacy stream handler body extraction is tracked by V2-056).,Flip stream route binding back to legacy handler if parity fails.
V2-123,Extract stream domain rules to domain layer,Move pure stream rules (ID normalization/search matching/ranking helpers) into `src/domain/stream/*` with side-effect-free tests.,M2,M,High,"v2,milestone:m2",No,Domain modules own pure stream decisions and are covered by focused unit tests.,Keep compatibility wrappers to legacy helpers until parity is revalidated.
V2-124,Extract stream integration adapters,Create `src/integrations/stream/*` adapters for indexer/newznab/easynews/nzbdav/tmdb/tvdb calls used by stream flow.,M2,L,High,"v2,milestone:m2,rollback",No,Stream service path calls integration adapters/interfaces instead of direct client usage from server/controller code.,Route adapters to legacy service clients behind compat wrappers if regressions appear.
V2-071,Add stream component unit tests,Add tests for each new stream subcomponent plus integration same output checks.,M2,M,Medium,"v2,milestone:m2",No,Unit+same output tests pass in CI.,Disable promotion if component tests are flaky.
V2-035,Add stream same output tests,Compare legacy and layered stream outputs on fixtures.,M2,M,Medium,"v2,milestone:m2",No,same output test suite passes agreed cases.,Keep flag off until mismatches are resolved.
V2-129,Add admin extraction parity tests,Add fixture/smoke checks for admin config and connection-test endpoints after extraction to confirm unchanged behavior.,M2,M,High,"v2,milestone:m2,rollback",No,Admin endpoint responses and hot-reload effects match baseline expectations in automated checks.,Temporarily route admin endpoints to legacy handlers and keep tests failing-fast until parity is restored.
V2-125,Complete stream layered cutover behind feature flag,Wire `routes -> controllers -> services -> domain -> integrations` stream path behind `STREAM_V2_ENABLED` with parity and staged validation, using compatibility pipeline bridging where needed (physical removal of remaining legacy stream handler body from `server.js` is deferred to `V2-056`).,M2,L,High,"v2,milestone:m2,rollback",No,Flag-on stream requests enter layered modules and pass same output + staging trial + rollback drill checks.,Disable `STREAM_V2_ENABLED` and validate legacy path smoke checks before promotion.
V2-036,Run stream staging trial run,Enable stream v2 in staging and monitor latency/error rates after M2 extraction tasks are complete.,M2,S,Medium,"v2,milestone:m2",No,staging trial run meets baseline thresholds.,Disable flag if thresholds exceeded.
V2-GATE-M2,M2 gate - server/admin/stream split work stable,"Close only when admin+stream controller/domain/integration extraction, same output checks, and staging trial run checks pass.",M2,XS,Low,"v2,milestone:m2,rollback",No,M2 tasks complete (including V2-122..129) with flag-on layered path + rollback verified; full physical stream handler body extraction from `server.js` is tracked by V2-056.,Block M3 until stream/admin rollback drill succeeds.
V2-040,Create triage layered scaffold,"Create `src/{routes,controllers,services,integrations,domain}/triage/*` plus `src/types/triage/*` scaffold.",M3,XS,Low,"v2,milestone:m3,quick-win",Yes,Scaffold with docs exists.,Refine layout early if unclear.
V2-041,Define triage decision types,Centralize triage statuses and decision payload types.,M3,S,Low,"v2,milestone:m3",No,Typed statuses are shared by triage consumers.,Align with runtime outputs if conflicts emerge.
V2-042,Extract NNTP adapter interface,Abstract NNTP operations behind triage adapter contract.,M3,S,Low,"v2,milestone:m3",No,Triage app layer depends on interface only.,Use pass-through adapter if abstraction delays work.
V2-043,Extract archive inspection adapter interface,Abstract rar/zip/7z inspection dependencies behind interface.,M3,S,Low,"v2,milestone:m3",No,Triage logic uses adapter contract with stubs in tests.,Keep legacy inspector wiring until same output confidence improves.
V2-044,Add triage fixture tests,Add fixture tests for critical triage statuses and blockers/warnings.,M3,M,Medium,"v2,milestone:m3",No,Critical triage scenarios are covered and passing.,Pause rollout if flaky or inconsistent outcomes appear.
V2-045,Add triage same output checker,Compare legacy vs refactored triage outputs on fixture case list.,M3,M,Medium,"v2,milestone:m3",No,same output report generated and differences triaged.,Keep triage flag off until differences resolved.
V2-046,Add triage v2 feature flag,Add `TRIAGE_V2_ENABLED` toggle for safe switching.,M3,S,Low,"v2,milestone:m3,rollback",No,Flag switch works without deploy changes.,Pin flag to legacy on production instability.
V2-072,Split triage/index.js NNTP concerns,Move pooling/client/stat/body operations into dedicated infra files.,M3,M,Medium,"v2,milestone:m3",No,NNTP logic no longer embedded in large single file triage file.,Restore old path if throughput/errors regress.
V2-073,Split triage archive analyzers,Move archive parsing/analyzers into isolated infra/domain modules.,M3,M,Medium,"v2,milestone:m3",No,Archive code is modular and independently testable.,Revert parser routing if signature/status regressions appear.
V2-074,Extract triage decision pipeline,Move decision assembly/scoring into app-layer pipeline module.,M3,M,Medium,"v2,milestone:m3",No,Pipeline has clear inputs/outputs and tests.,Fallback to previous decision path if mismatch occurs.
V2-075,Extract triage domain helpers,Move file/title/archive selection helpers to domain modules.,M3,S,Low,"v2,milestone:m3,quick-win",Yes,Domain helpers are separated from coordination code.,Re-link helpers to old file if regressions appear.
V2-076,Isolate RAR/7z/ZIP contracts and tests,Define parser contracts and add targeted regression tests for signatures/status transitions.,M3,M,Medium,"v2,milestone:m3",No,Parser behavior tests pass and cover known edge cases.,Use legacy parser for failing formats until fixed.
V2-077,Create triage compatibility wrapper,Keep `src/services/triage/index.js` as thin compatibility wrapper during migration.,M3,S,Low,"v2,milestone:m3",No,Legacy import path still works while delegating to modules.,Point wrapper back to legacy implementation if needed.
V2-078,Expand triage fixture case list,Add fixtures for verified/blocked/unverified_7z/missing-articles/fetch-error and archive edge cases.,M3,M,Medium,"v2,milestone:m3",No,Fixture case list covers high-risk triage outcomes.,Reduce fixture scope temporarily if maintenance cost is too high.
V2-104,Reduce triage/index.js to compatibility wrapper,Reduce `src/services/triage/index.js` from large single file to compatibility wrapper target (<=500 lines) after extractions.,M3,M,Medium,"v2,milestone:m3,rollback",No,Core triage logic lives in service/integration files and index.js is thin adapter.,"If triage same output fails, keep legacy path and postpone line-count target."
V2-GATE-M3,M3 gate - triage split work stable,"Close only when triage extraction, same output, and rollback checks pass.",M3,XS,Low,"v2,milestone:m3,rollback",No,M3 tasks complete and triage fallback validated.,Block M4 until triage rollback drill succeeds.
V2-050,Create central config service,Centralize env parsing and runtime config access in config service.,M4,M,Medium,"v2,milestone:m4",No,Config service is primary config entrypoint.,Fallback to legacy config reads if critical bug appears.
V2-051,Add read-only runtime snapshot,Use immutable typed runtime snapshot for module execution.,M4,S,Low,"v2,milestone:m4",No,Modules consume snapshot instead of scattered mutable vars.,Shorten snapshot lifecycle if stale values surface.
V2-052,Move admin config update flow,Refactor admin save/reload to use central config service and explicit reload steps while preserving no-restart behavior for hot-reloadable settings.,M4,M,Medium,"v2,milestone:m4",No,"Admin update path is centralized, tested, and applies hot-reloadable keys without app/container restart.",Re-enable old admin update sequence if reload breaks.
V2-053,Add config reload smoke tests,"Test config apply, cache clear, and hot-reload vs restart-required behavior.",M4,S,Low,"v2,milestone:m4,quick-win",Yes,Reload smoke tests pass in CI including no-restart paths.,Disable promotion if reload tests fail.
V2-054,Remove scattered process.env reads,Restrict direct env reads to config layer only.,M4,S,Low,"v2,milestone:m4",No,Search report confirms env read boundaries.,Document exceptions when temporary direct reads are unavoidable.
V2-055,Add reload decision logging,Log why a config change triggers restart vs hot reload.,M4,XS,Low,"v2,milestone:m4,quick-win",Yes,Logs include changed keys and action reason.,Reduce verbosity if log volume too high.
V2-056,Reduce server.js to composition-only,Reach target server.js <= 300 lines with no business logic handlers and explicitly extract/remove any remaining legacy streamHandler body/business logic from server.js into layered modules.,M4,M,Medium,"v2,milestone:m4",No,server.js contains only composition/startup/wiring and no inline stream business logic remains.,Defer strict line target if blocked but document blockers.
V2-057,Add large single file guard CI check,Fail CI if server.js grows beyond threshold or reintroduces handler bodies.,M4,S,Low,"v2,milestone:m4,quick-win",Yes,CI guard is active and documented.,Tune threshold/pattern if false positives occur.
V2-079,Split newznab service,Split `src/services/newznab.js` into configs/caps/search layers with integration-client wrapper.,M4,M,Medium,"v2,milestone:m4",No,Newznab wrapper is modular and behaviorally compatible.,Use legacy newznab path until same output checks pass.
V2-080,Split nzbdav service,Split `src/services/nzbdav.js` into config/api/webdav/streaming modules with wrapper.,M4,M,Medium,"v2,milestone:m4",No,NZBDav wrapper is modular and tested for stream/download paths.,Switch routes back to legacy NZBDav service on regressions.
V2-081,Split easynews service,Split `src/services/easynews/index.js` into auth/query/mapper/download modules.,M4,M,Medium,"v2,milestone:m4",No,Easynews wrapper uses modular internals and passes same output cases.,Use legacy easynews implementation on regressions.
V2-082,Split tmdb service,Split `src/services/tmdb.js` into client/cache/lookup modules with wrapper.,M4,M,Medium,"v2,milestone:m4",No,TMDb service internals are modular and tested.,Fallback to legacy TMDb service if metadata lookup fails.
V2-083,Split indexer service,Split `src/services/indexer.js` into manager adapters and planner logic.,M4,M,Medium,"v2,milestone:m4",No,Indexer wrapper supports existing manager modes with tests.,Revert to legacy indexer on manager-specific regressions.
V2-084,Unify service reload coordination,Make all integration-client/service reloads flow through config service coordination.,M4,M,Medium,"v2,milestone:m4",No,Single reload coordination path updates all services.,Restore per-service manual reload path if coordination fails.
V2-085,Add integration-client behavior tests,Add behavior tests for integration-client wrappers (newznab/nzbdav/easynews/tmdb/indexer/tvdb).,M4,M,Medium,"v2,milestone:m4",No,Integration-client contracts are verified by tests in CI.,Skip non-critical clients temporarily if behavior tests are flaky.
V2-090,Split tvdb service,Split `src/services/tvdb.js` into client/auth/lookup modules with wrapper.,M4,S,Low,"v2,milestone:m4",No,TVDb service internals are modular and tested.,Fallback to legacy tvdb service if lookup regressions appear.
V2-091,Split metadata parser service,Split `src/services/metadata/releaseParser.js` into parser rules/normalization modules.,M4,M,Medium,"v2,milestone:m4",No,Metadata parser is modular with fixture tests.,Keep legacy parser path if parsing regression rate increases.
V2-092,Split specialMetadata service,Move `src/services/specialMetadata.js` to integration-client module with typed wrapper.,M4,S,Low,"v2,milestone:m4,quick-win",Yes,Special metadata integration client has modular adapter and tests.,Fallback to legacy special metadata service on errors.
V2-093,Split cache layer,"Refactor `src/cache/index.js`, `nzbCache.js`, `nzbdavCache.js`, and `streamCache.js` into cohesive cache modules with typed interfaces.",M4,M,Medium,"v2,milestone:m4",No,Cache modules are separated by responsibility and covered by tests.,"If cache hit/miss behavior regresses, route read/write through legacy cache adapters."
V2-094,Refactor auth middleware,Refactor `src/middleware/auth.js` into typed middleware module with explicit token validation contract.,M4,S,Low,"v2,milestone:m4,quick-win",Yes,Auth middleware has clear contract/tests and no behavior regression on protected routes.,"If auth failures spike, revert to legacy middleware path immediately."
V2-095,Consolidate config/runtime utilities,"Consolidate `config/runtimeEnv.js`, `src/config/constants.js`, and `src/utils/config.js` behind config service + runtime snapshot.",M4,M,Medium,"v2,milestone:m4",No,Config parsing and runtime access flow through centralized typed service.,Fallback to legacy config parsing until same output is confirmed.
V2-096,Refactor parser utilities,"Split `src/utils/parsers.js` into focused utility modules (id parsing, token normalization, stream parsing helpers).",M4,M,Medium,"v2,milestone:m4",No,"Parser utilities are modular, typed, and covered by unit tests.",Re-export legacy parser API if downstream regressions appear.
V2-097,Refactor publish metadata utilities,Refactor `src/utils/publishInfo.js` into typed publish metadata domain utility with explicit date-window contracts.,M4,S,Low,"v2,milestone:m4,quick-win",Yes,Publish info helpers are tested and consumed via typed interfaces.,Fallback to legacy publishInfo module on timestamp comparison regressions.
V2-109,Create structured logger abstraction,"Introduce `src/observability/logger` with env-configured levels, structured output, and console adapter compatibility.",M4,M,Medium,"v2,milestone:m4",No,Server/services consume shared logger interface instead of ad-hoc console calls in critical paths.,Keep compatibility logger that forwards to console if migration causes operational issues.
V2-110,Add request context middleware,"Add middleware to attach request ID, start timestamp, and request-scoped logger to request context.",M4,S,Low,"v2,milestone:m4,quick-win",Yes,Controllers/services can read request metadata without giant context objects.,"If middleware breaks routing, disable request context attachment and use static logger fallback."
V2-111,Add centralized HTTP error middleware,Introduce layered error mapping middleware for API responses and consistent log/error payloads.,M4,M,Medium,"v2,milestone:m4",No,Unhandled errors go through one formatter and preserve existing status behavior.,Fallback to legacy try/catch handlers while same output gaps are resolved.
V2-112,Refactor middleware chain composition,Move auth/cors/json/static/security middleware ordering into `src/app/http/middleware` composition module.,M4,S,Low,"v2,milestone:m4,quick-win",Yes,"Middleware order is explicit, tested, and no longer hand-wired inside large single file server setup.",Restore previous middleware order if regressions appear on admin/addon routes.
V2-113,Replace mega-context with small grouped dependency objects,"Replace giant context objects with typed small grouped dependency objects (`appDeps`, `requestDeps`, `featureDeps`).",M4,M,Medium,"v2,milestone:m4",No,Stream/triage entrypoints receive only required dependency groups.,Keep compatibility helper that builds legacy context shape until all call sites are migrated.
V2-114,Add config+logging behavior tests,"Add tests that verify runtime snapshot injection, config reload behavior, and log redaction of secrets.",M4,M,Medium,"v2,milestone:m4",No,No secrets are emitted in logs and config reload continues to work across services.,Temporarily reduce strict log assertions if false positives block milestone progress.
V2-115,Define hot-reload key classification case list,Classify runtime settings as hot-reloadable vs restart-required and enforce the case list in admin apply flow.,M4,S,Low,"v2,milestone:m4,quick-win",Yes,Classification case list is documented and used by runtime apply logic.,Default unknown keys to restart-required mode until classification is added.
V2-116,Implement versioned runtime config store,Implement versioned in-memory config store backed by runtime-env persistence so readers use snapshots instead of direct process.env reads.,M4,M,Medium,"v2,milestone:m4",No,Config updates are atomic and snapshot version increments without process restart.,Keep dual-read compatibility (snapshot + legacy env path) until migration stabilizes.
V2-117,Guarantee manifest freshness after config save,Ensure manifest routes read latest config snapshot immediately and return cache headers that prevent stale manifest usage.,M4,S,Medium,"v2,milestone:m4",No,Admin config changes are visible on next manifest fetch without restart.,Fallback to legacy manifest path while retaining no-store cache behavior.
V2-118,Add no-restart config reload integration tests,Add integration tests covering admin-save -> manifest/settings effect without restart for hot-reloadable keys.,M4,M,Medium,"v2,milestone:m4",No,Automated tests prove hot-reload works end-to-end for representative settings.,Temporarily gate on reduced key subset if full case list tests are flaky.
V2-120,Sync runtime env schema and docs,"Align `.env.example`, admin config key definitions, and runtime config schema docs for all supported settings.",M4,S,Low,"v2,milestone:m4,quick-win",Yes,All runtime keys are documented once with hot-reload vs restart classification.,Default undocumented keys to unsupported until documented.
V2-121,Validate service worker caching for runtime settings,Ensure admin PWA/service worker behavior never serves stale addon manifest or config-driven runtime responses.,M4,M,Medium,"v2,milestone:m4",No,Manifest/config endpoints bypass stale SW caching and hot-reload behavior remains immediate.,Disable SW caching for affected endpoints if stale responses are detected.
V2-GATE-M4,M4 gate - all services split work stable,Close only when all major service split work and config hardening are complete.,M4,XS,Low,"v2,milestone:m4,rollback",No,M4 tasks done and integration-client rollback paths validated.,Block M5 until integration-client rollback drills succeed.
V2-060,Write architecture overview,Document final v2 architecture and layered boundaries for contributors.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,Architecture doc exists with diagrams/examples.,Revise docs after onboarding feedback.
V2-061,Add endpoint contribution guide,Document step-by-step flow to add a new endpoint in v2.,M5,XS,Low,"v2,milestone:m5,quick-win",Yes,"Guide includes code path, tests, checklist.",Add concrete sample PR if confusion remains.
V2-062,Add integration-client adapter guide,Document how to add a new integration-client adapter safely.,M5,XS,Low,"v2,milestone:m5,quick-win",Yes,Guide includes contract and testing expectations.,Expand with examples if too abstract.
V2-063,Add v2 PR checklist,Create PR checklist for same output/tests/rollback/observability.,M5,XS,Low,"v2,milestone:m5,quick-win",Yes,Checklist is used in all v2 PRs.,Split required/optional items if too heavy.
V2-064,Add CODEOWNERS for layers,Define layer ownership to improve review flow.,M5,XS,Low,"v2,milestone:m5",No,CODEOWNERS routes PRs correctly.,Relax ownership if review bottlenecks appear.
V2-065,Add integration test template,Provide reusable test template for new layered features.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,Template is used by at least one layered feature.,Update template if adoption is low.
V2-119,Align build and deployment entrypoints,"Update `package.json` scripts, TS build outputs, and `Dockerfile` startup path to match refactored runtime layout.",M5,M,Medium,"v2,milestone:m5",No,Local and container startup use the same supported entrypoint with passing smoke tests.,Keep legacy startup entrypoint available until new path is proven in staging.
V2-086,Refactor shared helpers large single file,Split `src/utils/helpers.js` into focused shared utility modules.,M5,M,Medium,"v2,milestone:m5",No,Helper utilities are domain-focused and documented.,Keep legacy helper exports as compatibility wrappers.
V2-087,Refactor connection test utilities,Split `src/utils/connectionTests.js` into integration-specific diagnostics.,M5,S,Low,"v2,milestone:m5",No,Diagnostics are organized by integration/layer.,Restore legacy test utility entrypoint if tooling breaks.
V2-088,Add shared testing toolkit,Create `src/shared/testing` helpers for fixtures/same output/assertions.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,Shared testing helpers are used in refactor tests.,Revert to local test helpers if shared abstractions hinder progress.
V2-089,Publish architecture decision records,Add ADRs documenting key v2 design decisions and tradeoffs.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,"ADRs exist for layer boundaries, DI shape, and rollout strategy.",Update ADRs if implementation deviates from plan.
V2-098,Refactor template and user-agent utilities,Refactor `src/utils/templateEngine.js` and `src/utils/userAgent.js` into typed shared utility modules with tests.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,Template/user-agent utilities are modularized and behaviorally compatible.,Keep legacy exports if UI/template rendering regressions appear.
V2-099,Harden parse-torrent-title integration boundary,Add typed adapter boundary around `src/utils/lib/parse-torrent-title` usage and isolate direct calls to one integration module.,M5,M,Medium,"v2,milestone:m5",No,Parser library usage is isolated and contract-tested.,"If wrapper causes parse regressions, temporarily use direct legacy calls."
V2-100,Modularize admin frontend app,"Split `admin/app.js` into feature-oriented frontend modules (api client, state, views/components, form handlers).",M5,M,Medium,"v2,milestone:m5",No,Admin app is modularized with same runtime behavior and simpler contributor flow.,"If admin UI regressions appear, serve legacy admin bundle while fixing modules."
V2-101,Refactor admin static shell assets,"Cleanly structure `admin/index.html`, `styles.css`, `sw.js`, and `manifest.json` with documented build/runtime expectations.",M5,S,Low,"v2,milestone:m5,quick-win",Yes,"Admin shell assets are documented, validated, and compatible with existing hosting.",Rollback to previous asset set if PWA/admin loading breaks.
V2-102,Consolidate shared type definitions,Establish `src/types` as source of shared global/module types and remove duplicate ad-hoc type declarations.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,Shared type definitions are centralized and referenced across modules.,"If type consolidation blocks progress, keep compat type shims temporarily."
V2-103,Refactor project scripts and diagnostics,Refactor/standardize `scripts/*` tooling (triage diagnostics/import scripts) with docs and safer defaults.,M5,S,Low,"v2,milestone:m5,quick-win",Yes,"Scripts are documented, predictable, and align with v2 architecture.",Keep legacy scripts available until new script behavior is validated.
V2-105,Create parse-torrent-title subtree strategy,"Document whether `src/utils/lib/parse-torrent-title` is treated as internal, vendored, or replaceable dependency in v2.",M5,S,Low,"v2,milestone:m5,quick-win",Yes,"Strategy doc defines ownership, upgrade policy, and test expectations.","If strategy remains unclear, freeze internal changes and allow bugfix-only patches."
V2-106,Refactor parse-torrent-title access via wrapper,Create a single wrapper module for parse-torrent-title usage and migrate all direct imports to it.,M5,M,Medium,"v2,milestone:m5",No,All app code imports parser through wrapper and integration tests pass.,"If wrapper migration causes regressions, temporarily permit mixed import mode."
V2-107,Stabilize parse-torrent-title regression suite,Classify and run parser tests relevant to production paths; mark noisy tests and document rationale.,M5,M,Medium,"v2,milestone:m5",No,Parser regression suite has clear pass criteria for v2 releases.,"If suite is unstable, gate only on high-value subset and expand later."
